game_no,player_no,round_no,primal_type,kicker_type,kicker_len,combo_str,primal_str,current_str,up_str,down_str
8,3,6,1,0,0,8,8,59JJQQK22,344455799TTJQKA,9TTJQA2S
8,1,7,1,0,0,2,2,9TTJQA2S,59JJQQK2,344455799TTJQKA
8,2,7,1,0,0,S,S,344455799TTJQKA,9TTJQA2,59JJQQK2
8,3,7,0,0,0,,,59JJQQK2,344455799TTJQKA,9TTJQA2
8,1,8,0,0,0,,,9TTJQA2,59JJQQK2,344455799TTJQKA
8,2,8,1,0,0,9,9,344455799TTJQKA,TTJQA2,59JJQQK2
8,3,8,1,0,0,K,K,59JJQQK2,344455799TTJQA,TTJQA2
8,1,9,1,0,0,2,2,TTJQA2,59JJQQK,344455799TTJQA
8,2,9,0,0,0,,,344455799TTJQA,TTJQA2,59JJQQK
8,3,9,0,0,0,,,59JJQQK,344455799TTJQA,TTJQA2
8,1,10,1,0,0,5,5,TTJQA2,9JJQQK,344455799TTJQA
8,2,10,1,0,0,T,T,344455799TTJQA,TJQA2,9JJQQK
8,3,10,1,0,0,Q,Q,9JJQQK,344455799TTJA,TJQA2
8,1,11,1,0,0,K,K,TJQA2,9JJQQ,344455799TTJA
8,2,11,1,0,0,A,A,344455799TTJA,TJQ2,9JJQQ
8,3,11,0,0,0,,,9JJQQ,344455799TTJA,TJQ2
8,1,12,0,0,0,,,TJQ2,9JJQQ,344455799TTJA
8,2,12,1,0,0,T,T,344455799TTJA,JQ2,9JJQQ
8,3,12,1,0,0,J,J,9JJQQ,344455799TTA,JQ2
8,1,13,1,0,0,Q,Q,JQ2,9JJQ,344455799TTA
8,2,13,1,0,0,2,2,344455799TTA,JQ,9JJQ
8,3,13,0,0,0,,,9JJQ,344455799TTA,JQ
8,1,14,0,0,0,,,JQ,9JJQ,344455799TTA
8,2,14,1,0,0,J,J,344455799TTA,Q,9JJQ
8,3,14,1,0,0,A,A,9JJQ,344455799TT,Q
8,1,15,0,0,0,,,Q,9JJQ,344455799TT
8,2,15,0,0,0,,,344455799TT,Q,9JJQ
8,3,15,9,2,1,44455,444,9JJQ,3799TT,Q
8,1,16,0,0,0,,,Q,9JJQ,3799TT
8,2,16,0,0,0,,,3799TT,Q,9JJQ
8,3,16,1,0,0,3,3,9JJQ,799TT,Q
8,1,17,1,0,0,Q,Q,Q,9JJ,799TT
8,2,17,0,0,0,,,799TT,Q,9JJ
8,3,17,0,0,0,,,9JJ,799TT,Q
8,1,18,3,0,0,JJ,JJ,Q,9,799TT
9,1,1,12,1,3,344455566689,444555666,334778889TQQKKA22,3TJJQASB,567799TTJJQKKAA22
